FID,the_geom,fid,country,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,generati_5,generati_6,generati_7,estimated_,estimate_1,estimate_2,estimate_3,estimate_4,estimate_5,estimate_6,estimate_7,estimate_8,estimate_9
global_power_plants_renewable.2241,POINT (-80.3607 42.855),2241,Canada,13th Side Road,CAN0007595,9.5,42.855,-80.3607,Solar,,,,0,Skypower Ltd / Sunedison,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,62914,2013,0,0,0,0,0,0,0,,12.98,13.15,13.77,14.21,13.75,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2246,POINT (-81.7068 42.9877),2246,Canada,Adelaide,CAN0007600,59.9,42.9877,-81.7068,Wind,,,,0,Kerwood Wind  LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,65418,2016,0,0,0,0,0,0,0,,0,0,0,0,138.96,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2247,POINT (-81.7392 43.0184),2247,Canada,Adelaide (Suncor),CAN0007601,40,43.0184,-81.7392,Wind,,,,0,Suncor Adelaide Wind LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,68914,2016,0,0,0,0,0,0,0,,0,0,0,0,92.8,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2248,POINT (-81.6708 42.9585),2248,Canada,Adelaide 1,CAN0007602,10,42.9585,-81.6708,Solar,,,,0,Met Fiera Solar Adelaide 1 LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2017,0,0,0,0,0,0,0,,13.76,14.01,14.07,14.71,14.3,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2254,POINT (-78.0946 44.1939),2254,Canada,Alderville 3,CAN0007607,5,44.1939,-78.0946,Solar,,,,0,Alderville Solar LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2017,0,0,0,0,0,0,0,,7.14,7.43,7.13,7.97,6.98,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2268,POINT (-79.8493 44.629),2268,Canada,Aria,CAN0007621,9,44.629,-79.8493,Solar,,,,0,Concord Aria Partnership,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,67202,2017,0,0,0,0,0,0,0,,11.93,13.72,13.15,12.88,11.67,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2269,POINT (-81.4574 44.2044),2269,Canada,Armow,CAN0002098,180,44.2044,-81.4574,Wind,,,,0,Sp Armow Wind Ontario LP,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,64545,2016,0,0,0,0,0,0,0,,0,0,0,0,417.6,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2274,POINT (-80.5152 43.8478),2274,Canada,Arthur,CAN0007627,10,43.8478,-80.5152,Wind,,,,0,Arthur Wind Farm Ltd Partnership,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2016,0,0,0,0,0,0,0,,0,0,0,0,23.2,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2280,POINT (-78.314 44.3235),2280,Canada,Auburn,CAN0007633,2,44.3235,-78.314,Hydro,,,,0,,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,28956,2017,0,0,0,0,0,0,0,,10.31,9.08,8.9,9.54,8.31,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.2289,POINT (-78.7587 44.651),2289,Canada,Balsam Lake,CAN0007640,3,44.651,-78.7587,Solar,,,,0,Balsam Lake LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,69513,2017,0,0,0,0,0,0,0,,4.04,4.56,4.54,4.15,3.77,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2297,POINT (-77.5881 44.1685),2297,Canada,Batawa,CAN0007648,5,44.1685,-77.5881,Hydro,,,,0,Innergex Inc,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,46811,2017,0,0,0,0,0,0,0,,27.21,20.96,22.63,22.89,26.65,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.2300,POINT (-79.293 44.2588),2300,Canada,Beamlight,CAN0007650,10,44.2588,-79.293,Solar,,,,0,Beamlight LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,68875,2017,0,0,0,0,0,0,0,,13.22,15.19,14.59,14.15,13.36,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2302,POINT (-79.1639 43.8233),2302,Canada,Beare Road LFG,CAN0007652,5,43.8233,-79.1639,Biomass,,,,0,E. S. Fox Ltd,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2016,0,0,0,0,0,0,0,,0,0,0,0,0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
global_power_plants_renewable.2311,POINT (-77.2579 44.0652),2311,Canada,Belleville TS Demorestville,CAN0007662,10,44.0652,-77.2579,Solar,,,,0,Sune Demorestville LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2017,0,0,0,0,0,0,0,,14.23,14.01,14.46,15.6,14.4,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2313,POINT (-81.1134 42.8913),2313,Canada,Belmont,CAN0007664,20,42.8913,-81.1134,Solar,,,,0,Ge Energy Financial (90%) / Fiera Axium Infrastructure (10%),Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,62240,2013,0,0,0,0,0,0,0,,28.7,29.13,29.5,29.97,29.58,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2314,POINT (-78.2873 44.2271),2314,Canada,Bensfort Road LFG,CAN0007665,1.6,44.2271,-78.2873,Biomass,,,,0,Lfg Power Corp,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2017,0,0,0,0,0,0,0,,0,0,0,0,0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
global_power_plants_renewable.2327,POINT (-81.9917 42.2787),2327,Canada,Bisnett Line,CAN0007679,9,42.2787,-81.9917,Wind,,,,0,Gengrowth,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,58731,2016,0,0,0,0,0,0,0,,0,0,0,0,20.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2332,POINT (-76.9251 44.2044),2332,Canada,Bluearth Little Creek,CAN0007684,8.5,44.2044,-76.9251,Solar,,,,0,Bluearth Renewables Inc,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2016,0,0,0,0,0,0,0,,11.15,11.51,11.53,12.89,11.77,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2334,POINT (-81.6282 43.4846),2334,Canada,Bluewater,CAN0007686,59.2,43.4846,-81.6282,Wind,,,,0,Varna Wind  LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2016,0,0,0,0,0,0,0,,0,0,0,0,137.34,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2337,POINT (-81.7024 43.1128),2337,Canada,Bornish,CAN0007689,72.9,43.1128,-81.7024,Wind,,,,0,Bornish Wind  LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,65420,2016,0,0,0,0,0,0,0,,0,0,0,0,169.12,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2344,POINT (-79.6825 43.697),2344,Canada,Brampton Biomass,CAN0007694,15.1,43.697,-79.6825,Biomass,,,,0,,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2015,0,0,0,0,0,0,0,,0,0,0,0,0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
global_power_plants_renewable.2348,POINT (-80.9604 42.9854),2348,Canada,Breen 2,CAN0007697,10,42.9854,-80.9604,Solar,,,,0,Met Fiera Solar Breen 2 LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,64973,2017,0,0,0,0,0,0,0,,13.83,14.01,14.12,14.74,14.04,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2355,POINT (-79.6972 43.6067),2355,Canada,Britannia LFG,CAN0007703,5.5,43.6067,-79.6972,Biomass,,,,0,Region of Peel,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,55768,2013,0,0,0,0,0,0,0,,0,0,0,0,0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
global_power_plants_renewable.2356,POINT (-75.6982 44.6329),2356,Canada,Brockville 1,CAN0007704,10,44.6329,-75.6982,Solar,,,,0,TransCanada Energy Ltd,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2017,0,0,0,0,0,0,0,,14.39,14.69,14.93,13.38,13.24,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2357,POINT (-75.8033 44.6301),2357,Canada,Brockville 2,CAN0007705,9,44.6301,-75.8033,Solar,,,,0,TransCanada Energy Ltd,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,67433,2017,0,0,0,0,0,0,0,,12.96,13.26,13.33,12.06,11.93,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2358,POINT (-75.7354 44.5939),2358,Canada,Brockville Solar,CAN0007706,10,44.5939,-75.7354,Solar,,,,0,Brockville Solar Inc,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2017,0,0,0,0,0,0,0,,14.39,14.69,14.93,13.38,13.22,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2379,POINT (-77.7725 44.3351),2379,Canada,Campbellford,CAN0007723,2,44.3351,-77.7725,Hydro,,,,0,Campbellford-Seymour Electric Generation Inc,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,63908,2017,0,0,0,0,0,0,0,,10.12,8.46,8.91,8.81,10.17,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.2397,POINT (-82.0528 43.0828),2397,Canada,Cedar Point,CAN0002122,100,43.0828,-82.0528,Wind,,,,0,Cedar Point II LP,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,67822,2016,0,0,0,0,0,0,0,,0,0,0,0,232,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2407,POINT (-82.3226 42.2065),2407,Canada,Chatham,CAN0002124,101.2,42.2065,-82.3226,Wind,,,,0,Kruger Energy Chatham LP,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2016,0,0,0,0,0,0,0,,0,0,0,0,234.78,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2439,POINT (-80.5722 42.5879),2439,Canada,Clear Creek,CAN0007774,9.9,42.5879,-80.5722,Wind,,,,0,,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,57002,2016,0,0,0,0,0,0,0,,0,0,0,0,22.96,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2444,POINT (-80.5888 43.7943),2444,Canada,Conestogo,CAN0007779,22.9,43.7943,-80.5888,Wind,,,,0,Conestogo Wind  LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2016,0,0,0,0,0,0,0,,0,0,0,0,53.12,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2453,POINT (-77.7723 44.3353),2453,Canada,Crowe Bay,CAN0007789,2,44.3353,-77.7723,Hydro,,,,0,,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,15454,2000,0,0,0,0,0,0,0,,10.12,8.46,8.91,8.81,10.17,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.2454,POINT (-81.5714 44.2478),2454,Canada,Cruickshank,CAN0007790,8.3,44.2478,-81.5714,Wind,,,,0,,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,59162,2016,0,0,0,0,0,0,0,,0,0,0,0,19.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2457,POINT (-80.6048 42.6009),2457,Canada,Cultus,CAN0007792,9.9,42.6009,-80.6048,Wind,,,,0,,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,58688,2016,0,0,0,0,0,0,0,,0,0,0,0,22.96,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2468,POINT (-79.2643 43.1183),2468,Canada,Decew Falls 1,CAN0007800,23,43.1183,-79.2643,Hydro,,,,0,,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,28976,2017,0,0,0,0,0,0,0,,60.91,60.91,60.91,61.08,60.91,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.2469,POINT (-79.2612 43.1189),2469,Canada,Decew Falls 2,CAN0002136,144,43.1189,-79.2612,Hydro,,,,0,,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,28975,2017,0,0,0,0,0,0,0,,362.51,362.51,362.51,363.51,362.51,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.2479,POINT (-79.0681 44.4384),2479,Canada,Discoverylight,CAN0007811,10,44.4384,-79.0681,Solar,,,,0,Axium Discovery Light LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,68409,2017,0,0,0,0,0,0,0,,13.24,15.19,14.8,14.42,13.33,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2491,POINT (-80.2673 44.2134),2491,Canada,Dufferin,CAN0007821,91.4,44.2134,-80.2673,Wind,,,,0,Dufferin Wind Power Inc,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,65333,2016,0,0,0,0,0,0,0,,0,0,0,0,212.04,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2495,POINT (-79.2834 44.2875),2495,Canada,Earthlight,CAN0007826,10,44.2875,-79.2834,Solar,,,,0,Concord Earthlight Partnership,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,69972,2017,0,0,0,0,0,0,0,,13.22,15.19,14.59,14.15,13.36,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2497,POINT (-80.7005 44.1972),2497,Canada,East Durham,CAN0007828,22.4,44.1972,-80.7005,Wind,,,,0,East Durham Wind  LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,65422,2016,0,0,0,0,0,0,0,,0,0,0,0,51.96,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2498,POINT (-79.1739 43.1216),2498,Canada,East LFG,CAN0007830,1,43.1216,-79.1739,Biomass,,,,0,St. Catharines Hydro Generation Inc / Glenridge Gas Utilization Inc,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2016,0,0,0,0,0,0,0,,0,0,0,0,0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
global_power_plants_renewable.2499,POINT (-82.3603 42.4776),2499,Canada,East Lake St. Clair,CAN0007829,99,42.4776,-82.3603,Wind,,,,0,East Lake St. Clair Wind LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,59156,2016,0,0,0,0,0,0,0,,0,0,0,0,229.68,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2505,POINT (-80.2323 43.5741),2505,Canada,Eastview LFG,CAN0007836,1.7,43.5741,-80.2323,Biomass,,,,0,Envida Community Energy Inc,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,53735,2017,0,0,0,0,0,0,0,,0,0,0,0,0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION
global_power_plants_renewable.2513,POINT (-76.0866 44.8406),2513,Canada,Elmsley East / West,CAN0007843,24,44.8406,-76.0866,Solar,,,,0,EDF Energies Nouvelles,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,62105,2017,0,0,0,0,0,0,0,,34.16,35.99,34.02,31.89,33.59,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2514,POINT (-80.4329 43.6809),2514,Canada,Elora,CAN0008597,1,43.6809,-80.4329,Hydro,,,,0,2405489 Ontario Inc,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,67432,2017,0,0,0,0,0,0,0,,3.22,3.6,2.79,3.74,3.23,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.2515,POINT (-82.4267 42.2741),2515,Canada,Enbridge Tilbury,CAN0007844,5,42.2741,-82.4267,Solar,,,,0,Enbridge Inc,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,62244,2016,0,0,0,0,0,0,0,,7.12,7.02,7.45,7.71,7.47,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2516,POINT (-81.8504 42.4454),2516,Canada,Erie Ridge,CAN0007845,9.4,42.4454,-81.8504,Solar,,,,0,Sunedison / Skypower Ltd,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2013,0,0,0,0,0,0,0,,13.57,13.18,13.9,14.59,13.84,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2517,POINT (-80.7695 42.6476),2517,Canada,Erie Shores,CAN0007846,99,42.6476,-80.7695,Wind,,,,0,Erie Shores Wind Farm LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,54583,2016,0,0,0,0,0,0,0,,0,0,0,0,229.68,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2518,POINT (-82.0047 42.3011),2518,Canada,Erieau,CAN0007847,99,42.3011,-82.0047,Wind,,,,0,Erieau Wind LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,57001,2016,0,0,0,0,0,0,0,,0,0,0,0,229.68,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2519,POINT (-76.7195 44.228),2519,Canada,Ernestown,CAN0007848,10,44.228,-76.7195,Wind,,,,0,Ernestown Windpark LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,53590,2016,0,0,0,0,0,0,0,,0,0,0,0,23.2,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
