FID,the_geom,fid,country,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,generati_5,generati_6,generati_7,estimated_,estimate_1,estimate_2,estimate_3,estimate_4,estimate_5,estimate_6,estimate_7,estimate_8,estimate_9
global_power_plants_renewable.19989,POINT (-70.5389 41.7525),19989,United States of America,Cape Cod Air Force Station - 6 SWS,USA0058661,3.4,41.7525,-70.5389,Wind,,,,2014,US Air Force,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,7.834,8.322,8.99,9.235,7.996,6.315,U.S. Energy Information Administration,0,0,11.28,11.65,11.1,NO-ESTIMATION,NO-ESTIMATION,WIND-V1,WIND-V1,WIND-V1
global_power_plants_renewable.19995,POINT (-80.5208 40.9975),19995,United States of America,Carbon Limestone,USA0056868,25.6,40.9975,-80.5208,Waste,,,,2004.0703,EDL Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,49755,2019,149.015,146.526,140.995,134.874,138.248,130.173,122.795,U.S. Energy Information Administration,0,0,0,0,4.63,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.20008,POINT (-74.685 40.47),20008,United States of America,Carrier Clinic,USA0059297,1.5,40.47,-74.685,Solar,,,,2009,Sunlight General Solar Fund II  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,2.042,1.99,2.14,2.121,1.917,1.844,1.938,U.S. Energy Information Administration,2.22,2.14,2.15,2.02,2.11,SOLAR-V1,SOLAR-V1,SOLAR-V1,SOLAR-V1,SOLAR-V1
global_power_plants_renewable.20017,POINT (-70.8105 41.906),20017,United States of America,Carver CSG,USA0062763,2,41.906,-70.8105,Solar,,,,2019,Carver MA 2  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,0,0,0,0,0,1.446,U.S. Energy Information Administration,0,0,0,0,3.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.20018,POINT (-73.3073 43.6262),20018,United States of America,Carver Falls,USA0006456,1.9,43.6262,-73.3073,Hydro,,,,1922,Green Mountain Power Corp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,15960,2019,7.621,5.304,0.243,5.428,5.533,6.257,7.861,U.S. Energy Information Administration,5.46,6.21,5.42,5.36,4.79,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.20020,POINT (-70.7611 41.9428),20020,United States of America,Carver MA 1 Community Solar,USA0060442,2,41.9428,-70.7611,Solar,,,,2016,Navisun LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,0,0,1.035,3.031,2.768,2.372,U.S. Energy Information Administration,0,0,0,0,3.09,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1
global_power_plants_renewable.20030,POINT (-79.138 39.85),20030,United States of America,Casselman Wind Power Project,USA0056369,34.5,39.85,-79.138,Wind,,,,2008,Avangrid Renewables LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,56664,2019,94.308,97.984,90.934,90.562,96.763,97.027,89.458,U.S. Energy Information Administration,113.91,110.82,102.05,107.1,111.27,WIND-V1,WIND-V1,WIND-V1,WIND-V1,WIND-V1
global_power_plants_renewable.20044,POINT (-70.4472 43.4956),20044,United States of America,Cataract Hydro,USA0001486,6.6,43.4956,-70.4472,Hydro,,,,1937,Brookfield White Pine Hydro LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,33.143,37.579,30.687,23.381,25.529,19.887,9.708,U.S. Energy Information Administration,26.52,27.34,21.37,27.84,24.31,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.20046,POINT (-76.954 42.2859),20046,United States of America,Catlin Solar 1 LLC,USA0063372,4,42.2859,-76.954,Solar,,,,2020,Green Street Power Partners,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,0,0,0,0,0,0,U.S. Energy Information Administration,0,0,0,0,6.51,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.20048,POINT (-72.5982 43.3812),20048,United States of America,Cavendish,USA0003710,1.7,43.3812,-72.5982,Hydro,,,,1907,Green Mountain Power Corp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,15962,2019,3.832,5.304,3.605,3.831,5.394,6.257,3.782,U.S. Energy Information Administration,5.54,5.56,5.48,5.58,4.93,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.20049,POINT (-75.8083 39.651),20049,United States of America,Cecil County CCVT HS,USA0060353,2,39.651,-75.8083,Solar,,,,2016,SunE DB42  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,0,0,3.473,3.45,3.297,3.4,U.S. Energy Information Administration,0,0,0,0,3.14,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1
global_power_plants_renewable.20051,POINT (-74.9645 39.5033),20051,United States of America,Cedar Branch,USA0060266,5.9,39.5033,-74.9645,Solar,,,,2016,NJR Clean Energy Ventures Corporation,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,0,0,1.307,9.716,8.639,10.198,U.S. Energy Information Administration,0,0,0,0,9.86,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1
